Name of Club,Market Window to Reinforce,Position,Ideal Age,Competitive Experience,Preferred Nationality,Style of Play,Salary Range,Transfer Type,Immediate Needs,Observed Players,Free Agent,Contract End Date,Injury History,Performance Statistics - Goals,Performance Statistics - Goals per Match,Performance Statistics - Assists,Performance Statistics - Assists per Match,Performance Statistics - Interceptions,Performance Statistics - Interceptions per Match,Performance Statistics - Save Percentage,International Adaptability,Availability to Travel/Relocate,Languages,Market Value,Positional Flexibility,Scouting Recommendation,International Competitions,Attitude and Character,Media or Social Media Presence,Nombre del Club,Ventana a Reforzar,Posiciones,Edad Ideal,Experiencia Competitiva,Nacionalidad Preferente,Estilo de Juego,Rango Salarial,Tipología de Incorporación,Necesidad Inmediata,Agente Libre,Fecha de Fin de Contrato,Historial de Lesiones,Estadísticas de Rendimiento - Goles,Estadísticas de Rendimiento - Goles por Partido,Estadísticas de Rendimiento - Asistencias,Estadísticas de Rendimiento - Asistencias por Partido,Estadísticas de Rendimiento - Intercepciones,Estadísticas de Rendimiento - Intercepciones por Partido,Estadísticas de Rendimiento - Porcentaje de Paradas,Adaptabilidad Internacional,Disponibilidad para Viajar/Mudarse,Idiomas,Valor de Mercado,Flexibilidad Posicional,Recomendación de Scouting,Competiciones Internacionales,Actitud y Carácter,Seguimiento en Redes Sociales,Goals per Match,Assists per Match,Interceptions per Match,Save Percentage
,Summer Transfer Window,Goalkeeper,Under-23,Category 2,['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ventana de Transferencia Verano,Portero,Sub-23,Categoria 3,[],,"Menos de 50,000€",Cesión,,Sí,Sin especificar,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,Sí,,,,,,,,,,,
,Summer Transfer Window,Goalkeeper,Under-23,"['Category 2', 'Category 4', 'Category 3']",[],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xdsadad,Winter Transfer Window,Center Back,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsadas,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsadsa,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fsafdsafd,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsdads,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,adsadas,Ventana de Transferencia Verano,Portero,Sub-23,[],[],,"Menos de 50,000€",Cesión,,Sí,Sin especificar,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sí,Sí,,,,,,,,,,,
dsadsad,Summer Transfer Window,Goalkeeper,Under-23,['Category 1'],['Afghanistan'],,"Less than 50,000€",Loan,,[],Yes,Unspecified,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
